N, T, iter, diff, Time
3, -10.000000, 13, 0.000727, 0.00001092
3, -5.000000, 13, 0.000490, 0.00001126
3, 0.000000, 13, 0.000300, 0.00001097
3, 5.000000, 12, 0.000623, 0.00001032
3, 10.000000, 11, 0.000936, 0.00000949
3, 15.000000, 10, 0.000513, 0.00000869
3, 20.000000, 9, 0.000987, 0.00000811
3, 25.000000, 11, 0.000744, 0.00000962
3, 30.000000, 12, 0.000543, 0.00001012
3, 35.000000, 13, 0.000272, 0.00001105
5, -10.000000, 29, 0.000656, 0.00007583
5, -5.000000, 28, 0.000761, 0.00007286
5, 0.000000, 27, 0.000786, 0.00007022
5, 5.000000, 26, 0.000662, 0.00006772
5, 10.000000, 24, 0.000627, 0.00006304
5, 15.000000, 18, 0.000613, 0.00004801
5, 20.000000, 22, 0.000842, 0.00005783
5, 25.000000, 25, 0.000773, 0.00006509
5, 30.000000, 27, 0.000594, 0.00007025
5, 35.000000, 28, 0.000617, 0.00007261
10, -10.000000, 92, 0.000995, 0.00153006
10, -5.000000, 90, 0.000911, 0.00149986
10, 0.000000, 87, 0.000880, 0.00144673
10, 5.000000, 82, 0.000973, 0.00136483
10, 10.000000, 75, 0.000981, 0.00127353
10, 15.000000, 57, 0.000974, 0.00096116
10, 20.000000, 68, 0.000956, 0.00114871
10, 25.000000, 79, 0.000897, 0.00132585
10, 30.000000, 84, 0.000985, 0.00139771
10, 35.000000, 88, 0.000952, 0.00151802
15, -10.000000, 191, 0.000946, 0.01043349
15, -5.000000, 185, 0.000999, 0.01041742
15, 0.000000, 179, 0.000948, 0.00986135
15, 5.000000, 170, 0.000945, 0.00934663
15, 10.000000, 156, 0.000943, 0.00855495
15, 15.000000, 123, 0.000943, 0.00671965
15, 20.000000, 135, 0.000956, 0.00737557
15, 25.000000, 160, 0.000946, 0.00873368
15, 30.000000, 172, 0.000977, 0.00937135
15, 35.000000, 181, 0.000928, 0.00987530
20, -10.000000, 322, 0.000976, 0.04146529
20, -5.000000, 313, 0.000966, 0.04011371
20, 0.000000, 301, 0.000982, 0.03869559
20, 5.000000, 285, 0.000992, 0.03731737
20, 10.000000, 261, 0.000962, 0.03395429
20, 15.000000, 201, 0.000964, 0.02588887
20, 20.000000, 228, 0.000982, 0.02924042
20, 25.000000, 270, 0.000961, 0.03449109
20, 30.000000, 291, 0.000965, 0.03759059
20, 35.000000, 305, 0.000975, 0.03886845
25, -10.000000, 486, 0.000990, 0.12132106
25, -5.000000, 472, 0.000987, 0.11756148
25, 0.000000, 454, 0.000994, 0.11338113
25, 5.000000, 430, 0.000992, 0.10730663
25, 10.000000, 393, 0.000978, 0.09778802
25, 15.000000, 303, 0.000992, 0.07543170
25, 20.000000, 340, 0.000984, 0.08457900
25, 25.000000, 405, 0.000980, 0.10073603
25, 30.000000, 437, 0.000999, 0.10845926
25, 35.000000, 459, 0.000999, 0.11416176
50, -10.000000, 1000, 0.373455, 2.01152419
50, -5.000000, 1000, 0.247435, 2.00611211
50, 0.000000, 1000, 0.147263, 2.00554840
50, 5.000000, 1000, 0.072938, 2.00811181
50, 10.000000, 1000, 0.024462, 2.00335470
50, 15.000000, 1000, 0.001833, 2.00764681
50, 20.000000, 1000, 0.005052, 2.00639160
50, 25.000000, 1000, 0.034119, 2.00379589
50, 30.000000, 1000, 0.089033, 2.00167125
50, 35.000000, 1000, 0.169796, 2.00522151
100, -10.000000, 1000, 55.981285, 16.23453504
100, -5.000000, 1000, 37.318914, 16.24867271
100, 0.000000, 1000, 22.463534, 16.20446044
100, 5.000000, 1000, 11.415146, 16.21087531
100, 10.000000, 1000, 4.173749, 16.24476688
100, 15.000000, 1000, 0.739343, 16.19420620
100, 20.000000, 1000, 1.111930, 16.23773388
100, 25.000000, 1000, 5.291507, 16.20656663
100, 30.000000, 1000, 13.278076, 16.20396856
100, 35.000000, 1000, 25.071637, 16.22449997
