N, T, iter, diff,Time
3, -10.000000, 13, 0.000727, 0.00000704
3, -5.000000, 13, 0.000490, 0.00000675
3, 0.000000, 13, 0.000300, 0.00000694
3, 5.000000, 12, 0.000623, 0.00000670
3, 10.000000, 11, 0.000936, 0.00000620
3, 15.000000, 10, 0.000513, 0.00000559
3, 20.000000, 9, 0.000987, 0.00000538
3, 25.000000, 11, 0.000744, 0.00000619
3, 30.000000, 12, 0.000543, 0.00000643
3, 35.000000, 13, 0.000272, 0.00000687
5, -10.000000, 29, 0.000656, 0.00003790
5, -5.000000, 28, 0.000761, 0.00003677
5, 0.000000, 27, 0.000786, 0.00003646
5, 5.000000, 26, 0.000662, 0.00003438
5, 10.000000, 24, 0.000627, 0.00003263
5, 15.000000, 18, 0.000613, 0.00002572
5, 20.000000, 22, 0.000842, 0.00002989
5, 25.000000, 25, 0.000773, 0.00004366
5, 30.000000, 27, 0.000594, 0.00003557
5, 35.000000, 28, 0.000617, 0.00003702
10, -10.000000, 92, 0.000995, 0.00078293
10, -5.000000, 90, 0.000911, 0.00073697
10, 0.000000, 87, 0.000880, 0.00069891
10, 5.000000, 82, 0.000973, 0.00072733
10, 10.000000, 75, 0.000981, 0.00060359
10, 15.000000, 57, 0.000974, 0.00049424
10, 20.000000, 68, 0.000956, 0.00055185
10, 25.000000, 79, 0.000897, 0.00064875
10, 30.000000, 84, 0.000985, 0.00067460
10, 35.000000, 88, 0.000952, 0.00071935
15, -10.000000, 191, 0.000946, 0.00445819
15, -5.000000, 185, 0.000999, 0.00431369
15, 0.000000, 179, 0.000948, 0.00416731
15, 5.000000, 170, 0.000945, 0.00395157
15, 10.000000, 156, 0.000943, 0.00363509
15, 15.000000, 123, 0.000943, 0.00288293
15, 20.000000, 135, 0.000956, 0.00313711
15, 25.000000, 160, 0.000946, 0.00373096
15, 30.000000, 172, 0.000977, 0.00400640
15, 35.000000, 181, 0.000928, 0.00424337
20, -10.000000, 322, 0.000976, 0.01836606
20, -5.000000, 313, 0.000966, 0.01787735
20, 0.000000, 301, 0.000982, 0.01705881
20, 5.000000, 285, 0.000992, 0.01619450
20, 10.000000, 261, 0.000962, 0.01479953
20, 15.000000, 201, 0.000964, 0.01146598
20, 20.000000, 228, 0.000982, 0.01296140
20, 25.000000, 270, 0.000961, 0.01529901
20, 30.000000, 291, 0.000965, 0.01652115
20, 35.000000, 305, 0.000975, 0.01737782
25, -10.000000, 486, 0.000990, 0.05508023
25, -5.000000, 472, 0.000987, 0.05346301
25, 0.000000, 454, 0.000994, 0.05143820
25, 5.000000, 430, 0.000992, 0.04855500
25, 10.000000, 393, 0.000978, 0.04481293
25, 15.000000, 303, 0.000992, 0.03445953
25, 20.000000, 340, 0.000984, 0.03850228
25, 25.000000, 405, 0.000980, 0.04597708
25, 30.000000, 437, 0.000999, 0.04955126
25, 35.000000, 459, 0.000999, 0.05216801
50, -10.000000, 1000, 0.373455, 1.00767217
50, -5.000000, 1000, 0.247435, 1.00734488
50, 0.000000, 1000, 0.147263, 1.00715227
50, 5.000000, 1000, 0.072938, 1.00725087
50, 10.000000, 1000, 0.024462, 1.00752331
50, 15.000000, 1000, 0.001833, 1.00735675
50, 20.000000, 1000, 0.005052, 1.00722564
50, 25.000000, 1000, 0.034119, 1.00731514
50, 30.000000, 1000, 0.089033, 1.00771351
50, 35.000000, 1000, 0.169796, 1.00721512
100, -10.000000, 1000, 55.981285, 8.67784487
100, -5.000000, 1000, 37.318914, 8.71140372
100, 0.000000, 1000, 22.463534, 11.68384794
100, 5.000000, 1000, 11.415146, 12.14872988
100, 10.000000, 1000, 4.173749, 16.29464833
100, 15.000000, 1000, 0.739343, 16.35200035
100, 20.000000, 1000, 1.111930, 16.43752186
100, 25.000000, 1000, 5.291507, 16.44680132
100, 30.000000, 1000, 13.278076, 16.44038862
100, 35.000000, 1000, 25.071637, 16.43213073
