N, T, iter, diff, Time
3, -10.000000, 13, 0.000727, 0.00001099
3, -5.000000, 13, 0.000490, 0.00001124
3, 0.000000, 13, 0.000300, 0.00001109
3, 5.000000, 12, 0.000623, 0.00001021
3, 10.000000, 11, 0.000936, 0.00000953
3, 15.000000, 10, 0.000513, 0.00000881
3, 20.000000, 9, 0.000987, 0.00000827
3, 25.000000, 11, 0.000744, 0.00000944
3, 30.000000, 12, 0.000543, 0.00001006
3, 35.000000, 13, 0.000272, 0.00001089
5, -10.000000, 29, 0.000656, 0.00007605
5, -5.000000, 28, 0.000761, 0.00007280
5, 0.000000, 27, 0.000786, 0.00007025
5, 5.000000, 26, 0.000662, 0.00006778
5, 10.000000, 24, 0.000627, 0.00006312
5, 15.000000, 18, 0.000613, 0.00004802
5, 20.000000, 22, 0.000842, 0.00005814
5, 25.000000, 25, 0.000773, 0.00006564
5, 30.000000, 27, 0.000594, 0.00007056
5, 35.000000, 28, 0.000617, 0.00007269
10, -10.000000, 92, 0.000995, 0.00154149
10, -5.000000, 90, 0.000911, 0.00150322
10, 0.000000, 87, 0.000880, 0.00145002
10, 5.000000, 82, 0.000973, 0.00136631
10, 10.000000, 75, 0.000981, 0.00130229
10, 15.000000, 57, 0.000974, 0.00101370
10, 20.000000, 68, 0.000956, 0.00113440
10, 25.000000, 79, 0.000897, 0.00131791
10, 30.000000, 84, 0.000985, 0.00140679
10, 35.000000, 88, 0.000952, 0.00147402
15, -10.000000, 191, 0.000946, 0.01050072
15, -5.000000, 185, 0.000999, 0.01022828
15, 0.000000, 179, 0.000948, 0.00986788
15, 5.000000, 170, 0.000945, 0.00940484
15, 10.000000, 156, 0.000943, 0.00864475
15, 15.000000, 123, 0.000943, 0.00678658
15, 20.000000, 135, 0.000956, 0.00740220
15, 25.000000, 160, 0.000946, 0.00877684
15, 30.000000, 172, 0.000977, 0.00958015
15, 35.000000, 181, 0.000928, 0.00998192
20, -10.000000, 322, 0.000976, 0.04146847
20, -5.000000, 313, 0.000966, 0.04032719
20, 0.000000, 301, 0.000982, 0.03847762
20, 5.000000, 285, 0.000992, 0.03642357
20, 10.000000, 261, 0.000962, 0.03346663
20, 15.000000, 201, 0.000964, 0.02590875
20, 20.000000, 228, 0.000982, 0.02951935
20, 25.000000, 270, 0.000961, 0.03463578
20, 30.000000, 291, 0.000965, 0.03748590
20, 35.000000, 305, 0.000975, 0.03958757
25, -10.000000, 486, 0.000990, 0.12099154
25, -5.000000, 472, 0.000987, 0.11726488
25, 0.000000, 454, 0.000994, 0.11327300
25, 5.000000, 430, 0.000992, 0.10721631
25, 10.000000, 393, 0.000978, 0.09793588
25, 15.000000, 303, 0.000992, 0.07585586
25, 20.000000, 340, 0.000984, 0.08499958
25, 25.000000, 405, 0.000980, 0.10083627
25, 30.000000, 437, 0.000999, 0.10922865
25, 35.000000, 459, 0.000999, 0.11507021
50, -10.000000, 1000, 0.373455, 2.01191645
50, -5.000000, 1000, 0.247435, 2.01187352
50, 0.000000, 1000, 0.147263, 2.01115742
50, 5.000000, 1000, 0.072938, 2.01363834
50, 10.000000, 1000, 0.024462, 2.01582228
50, 15.000000, 1000, 0.001833, 2.01255856
50, 20.000000, 1000, 0.005052, 2.01640583
50, 25.000000, 1000, 0.034119, 2.00982000
50, 30.000000, 1000, 0.089033, 2.01165073
50, 35.000000, 1000, 0.169796, 2.01130808
100, -10.000000, 1000, 55.981285, 16.43506048
100, -5.000000, 1000, 37.318914, 16.44953641
100, 0.000000, 1000, 22.463534, 16.44808784
100, 5.000000, 1000, 11.415146, 16.43029240
100, 10.000000, 1000, 4.173749, 16.31395334
100, 15.000000, 1000, 0.739343, 16.25914875
100, 20.000000, 1000, 1.111930, 16.24992311
100, 25.000000, 1000, 5.291507, 16.16933407
100, 30.000000, 1000, 13.278076, 15.94228523
100, 35.000000, 1000, 25.071637, 15.96831512
