N, T, iter, diff, Time
3, -10.000000, 13, 0.000727, 0.00000661
3, -5.000000, 13, 0.000490, 0.00000647
3, 0.000000, 13, 0.000300, 0.00000644
3, 5.000000, 12, 0.000623, 0.00000618
3, 10.000000, 11, 0.000936, 0.00000579
3, 15.000000, 10, 0.000513, 0.00000543
3, 20.000000, 9, 0.000987, 0.00000507
3, 25.000000, 11, 0.000744, 0.00000580
3, 30.000000, 12, 0.000543, 0.00000613
3, 35.000000, 13, 0.000272, 0.00000634
5, -10.000000, 29, 0.000656, 0.00003373
5, -5.000000, 28, 0.000761, 0.00003275
5, 0.000000, 27, 0.000786, 0.00003164
5, 5.000000, 26, 0.000662, 0.00003049
5, 10.000000, 24, 0.000627, 0.00002860
5, 15.000000, 18, 0.000613, 0.00002239
5, 20.000000, 22, 0.000842, 0.00002672
5, 25.000000, 25, 0.000773, 0.00002987
5, 30.000000, 27, 0.000594, 0.00003161
5, 35.000000, 28, 0.000617, 0.00003244
10, -10.000000, 92, 0.000995, 0.00060725
10, -5.000000, 90, 0.000911, 0.00060412
10, 0.000000, 87, 0.000880, 0.00058251
10, 5.000000, 82, 0.000973, 0.00054153
10, 10.000000, 75, 0.000981, 0.00050653
10, 15.000000, 57, 0.000974, 0.00038132
10, 20.000000, 68, 0.000956, 0.00045205
10, 25.000000, 79, 0.000897, 0.00053011
10, 30.000000, 84, 0.000985, 0.00055797
10, 35.000000, 88, 0.000952, 0.00060965
15, -10.000000, 191, 0.000946, 0.00391912
15, -5.000000, 185, 0.000999, 0.00377248
15, 0.000000, 179, 0.000948, 0.00364887
15, 5.000000, 170, 0.000945, 0.00345348
15, 10.000000, 156, 0.000943, 0.00320493
15, 15.000000, 123, 0.000943, 0.00251716
15, 20.000000, 135, 0.000956, 0.00276750
15, 25.000000, 160, 0.000946, 0.00327512
15, 30.000000, 172, 0.000977, 0.00352285
15, 35.000000, 181, 0.000928, 0.00368765
20, -10.000000, 322, 0.000976, 0.01595718
20, -5.000000, 313, 0.000966, 0.01532408
20, 0.000000, 301, 0.000982, 0.01484594
20, 5.000000, 285, 0.000992, 0.01403230
20, 10.000000, 261, 0.000962, 0.01288361
20, 15.000000, 201, 0.000964, 0.00996833
20, 20.000000, 228, 0.000982, 0.01127735
20, 25.000000, 270, 0.000961, 0.01316451
20, 30.000000, 291, 0.000965, 0.01433121
20, 35.000000, 305, 0.000975, 0.01499046
25, -10.000000, 486, 0.000990, 0.04985595
25, -5.000000, 472, 0.000987, 0.04853134
25, 0.000000, 454, 0.000994, 0.04647178
25, 5.000000, 430, 0.000992, 0.04388244
25, 10.000000, 393, 0.000978, 0.04029885
25, 15.000000, 303, 0.000992, 0.03101005
25, 20.000000, 340, 0.000984, 0.03467424
25, 25.000000, 405, 0.000980, 0.04169439
25, 30.000000, 437, 0.000999, 0.04466749
25, 35.000000, 459, 0.000999, 0.04678172
50, -10.000000, 1000, 0.373455, 0.91734017
50, -5.000000, 1000, 0.247435, 0.91736325
50, 0.000000, 1000, 0.147263, 0.91734863
50, 5.000000, 1000, 0.072938, 0.91757142
50, 10.000000, 1000, 0.024462, 0.91774724
50, 15.000000, 1000, 0.001833, 0.91738831
50, 20.000000, 1000, 0.005052, 0.91766610
50, 25.000000, 1000, 0.034119, 0.91768891
50, 30.000000, 1000, 0.089033, 0.91734703
50, 35.000000, 1000, 0.169796, 0.91770950
100, -10.000000, 1000, 55.981285, 8.05547340
100, -5.000000, 1000, 37.318914, 8.06305050
100, 0.000000, 1000, 22.463534, 8.04811282
100, 5.000000, 1000, 11.415146, 8.07273886
100, 10.000000, 1000, 4.173749, 8.08829618
100, 15.000000, 1000, 0.739343, 8.08899485
100, 20.000000, 1000, 1.111930, 8.04869698
100, 25.000000, 1000, 5.291507, 8.67944948
100, 30.000000, 1000, 13.278076, 8.69651563
100, 35.000000, 1000, 25.071637, 8.68175740
