N,T,Iterations,Diff,Time
3,-10,22,0.000816,0.00008702
3,-5,22,0.000554,0.00009449
3,0,21,0.000685,0.00008184
3,5,20,0.000726,0.00007824
3,10,19,0.000571,0.00007519
3,15,16,0.000750,0.00006326
3,20,14,0.000710,0.00005557
3,25,18,0.000712,0.00007178
3,30,20,0.000548,0.00007821
3,35,21,0.000560,0.00008287
5,-10,50,0.000983,0.00057857
5,-5,49,0.000869,0.00056436
5,0,47,0.000920,0.00054564
5,5,45,0.000811,0.00051003
5,10,41,0.000864,0.00047387
5,15,32,0.000883,0.00040241
5,20,35,0.000966,0.00041081
5,25,42,0.000886,0.00047666
5,30,45,0.000979,0.00051524
5,35,48,0.000789,0.00055196
10,-10,166,0.000965,0.01092755
10,-5,161,0.000969,0.01060595
10,0,155,0.000950,0.01026874
10,5,146,0.000996,0.00973639
10,10,133,0.000994,0.00881898
10,15,103,0.000973,0.00677577
10,20,113,0.000953,0.00740272
10,25,137,0.000931,0.00898569
10,30,148,0.000990,0.00976040
10,35,156,0.000980,0.01041170
15,-10,344,0.000977,0.06781757
15,-5,333,0.000999,0.06568194
15,0,320,0.000995,0.06338805
15,5,303,0.000973,0.05987224
15,10,276,0.000978,0.05428806
15,15,216,0.000999,0.04259278
15,20,225,0.000965,0.04419050
15,25,279,0.000967,0.05525056
15,30,304,0.000997,0.05978368
15,35,322,0.000964,0.06328970
20,-10,581,0.000979,0.26088346
20,-5,562,0.000997,0.25266304
20,0,540,0.000978,0.24221824
20,5,509,0.000981,0.22798056
20,10,461,0.000990,0.20667519
20,15,352,0.000987,0.15837580
20,20,383,0.000978,0.17187051
20,25,471,0.000993,0.21201239
20,30,515,0.000983,0.23095645
20,35,544,0.000986,0.24537312
25,-10,876,0.000996,0.73607035
25,-5,848,0.000997,0.71214998
25,0,813,0.000997,0.68294678
25,5,766,0.000993,0.64426171
25,10,693,0.000996,0.58818083
25,15,527,0.000994,0.44269198
25,20,571,0.000989,0.48038268
25,25,708,0.000988,0.59691882
25,30,775,0.000989,0.65185153
25,35,819,0.001000,0.69008235
50,-10,1000,4.175146,6.43239149
50,-5,1000,2.774264,6.44169871
50,0,1000,1.659105,6.43160937
50,5,1000,0.829669,6.44017933
50,10,1000,0.285957,6.42421535
50,15,1000,0.027968,6.42350395
50,20,1000,0.055703,6.43113600
50,25,1000,0.369161,6.44106749
50,30,1000,0.968342,6.44207803
50,35,1000,1.853246,6.43328473
100,-10,1000,33.034657,49.83809668
100,-5,1000,20.132577,49.84669951
100,0,1000,10.530416,49.91887131
100,5,1000,4.228174,49.82675085
100,10,1000,1.225851,49.77803367
100,15,1000,1.523447,49.72186623
100,20,1000,5.120962,49.70174624
100,25,1000,12.018396,49.76543420
100,30,1000,22.215750,49.68052565
100,35,1000,49.236657,49.83809668
