N,T,Iterations,Diff,Time
3,-10,22,0.000816,0.00001658
3,-5,22,0.000554,0.00001669
3,0,21,0.000685,0.00001597
3,5,20,0.000726,0.00001519
3,10,19,0.000571,0.00001438
3,15,16,0.000750,0.00001217
3,20,14,0.000710,0.00001167
3,25,18,0.000712,0.00001437
3,30,20,0.000548,0.00001566
3,35,21,0.000560,0.00001600
5,-10,50,0.000983,0.00008861
5,-5,49,0.000869,0.00008575
5,0,47,0.000920,0.00008269
5,5,45,0.000811,0.00007881
5,10,41,0.000864,0.00007266
5,15,32,0.000883,0.00005807
5,20,35,0.000966,0.00006314
5,25,42,0.000886,0.00007462
5,30,45,0.000979,0.00007898
5,35,48,0.000789,0.00008468
10,-10,166,0.000965,0.00130792
10,-5,161,0.000969,0.00132818
10,0,155,0.000950,0.00127019
10,5,146,0.000996,0.00114745
10,10,133,0.000994,0.00105004
10,15,103,0.000973,0.00081235
10,20,113,0.000953,0.00094225
10,25,137,0.000931,0.00112248
10,30,148,0.000990,0.00119670
10,35,156,0.000980,0.00123319
15,-10,344,0.000977,0.00700005
15,-5,333,0.000999,0.00684322
15,0,320,0.000995,0.00674163
15,5,303,0.000973,0.00618553
15,10,276,0.000978,0.00563134
15,15,216,0.000999,0.00441312
15,20,225,0.000965,0.00460296
15,25,279,0.000967,0.00565198
15,30,304,0.000997,0.00622869
15,35,322,0.000964,0.00662139
20,-10,581,0.000979,0.02871712
20,-5,562,0.000997,0.02761060
20,0,540,0.000978,0.02672971
20,5,509,0.000981,0.02499590
20,10,461,0.000990,0.02289426
20,15,352,0.000987,0.01739378
20,20,383,0.000978,0.01902488
20,25,471,0.000993,0.02315943
20,30,515,0.000983,0.02569799
20,35,544,0.000986,0.02650632
25,-10,876,0.000996,0.08929749
25,-5,848,0.000997,0.08592815
25,0,813,0.000997,0.08256426
25,5,766,0.000993,0.07792134
25,10,693,0.000996,0.07025246
25,15,527,0.000994,0.05341728
25,20,571,0.000989,0.05771847
25,25,708,0.000988,0.07220943
25,30,775,0.000989,0.07825359
25,35,819,0.001000,0.08257112
50,-10,1000,4.175146,0.78190496
50,-5,1000,2.774264,0.78330689
50,0,1000,1.659105,0.77959838
50,5,1000,0.829669,0.77873397
50,10,1000,0.285957,0.77932439
50,15,1000,0.027968,0.78171451
50,20,1000,0.055703,0.77955785
50,25,1000,0.369161,0.78137453
50,30,1000,0.968342,0.78257992
50,35,1000,1.853246,0.77937469
100,-10,1000,49.236657,13.31061944
100,-5,1000,33.034657,13.43728566
100,0,1000,20.132577,13.28182834
100,5,1000,10.530416,13.33538349
100,10,1000,4.228174,13.31301926
100,15,1000,1.225851,13.34178680
100,20,1000,1.523447,12.92261790
100,25,1000,5.120962,12.55676022
100,30,1000,12.018396,10.95975937
100,35,1000,22.215750,10.97497612
