N,T,Iterations,Diff,Time
3,-10,23,0.000571,0.00009163
3,-5,22,0.000827,0.00009962
3,0,22,0.000563,0.00013614
3,5,21,0.000700,0.00008427
3,10,20,0.000750,0.00008071
3,15,19,0.000605,0.00007723
3,20,16,0.000933,0.00006471
3,25,15,0.000530,0.00006148
3,30,18,0.000710,0.00007283
3,35,20,0.000541,0.00008043
5,-10,50,0.000886,0.00057108
5,-5,49,0.000828,0.00056353
5,0,47,0.000954,0.00058595
5,5,45,0.000975,0.00053354
5,10,43,0.000803,0.00048891
5,15,38,0.000956,0.00045020
5,20,24,0.000757,0.00027486
5,25,36,0.000991,0.00040960
5,30,42,0.000819,0.00051366
5,35,45,0.000815,0.00051971
10,-10,165,0.000935,0.01101737
10,-5,160,0.000989,0.01066228
10,0,155,0.000969,0.01024909
10,5,148,0.000991,0.00980125
10,10,139,0.000963,0.00915890
10,15,124,0.000930,0.00824990
10,20,70,0.000950,0.00464005
10,25,118,0.000942,0.00774838
10,30,136,0.000970,0.00893401
10,35,146,0.000996,0.00963370
15,-10,344,0.000991,0.06801039
15,-5,334,0.000978,0.06581731
15,0,321,0.000979,0.06330424
15,5,304,0.000966,0.05973129
15,10,277,0.000992,0.05470616
15,15,221,0.000968,0.04344106
15,20,221,0.000971,0.04356059
15,25,277,0.000993,0.05452549
15,30,304,0.000967,0.05992525
15,35,321,0.000980,0.06358539
20,-10,575,0.000994,0.25402043
20,-5,559,0.000996,0.24662946
20,0,540,0.000988,0.23987294
20,5,515,0.000994,0.22782921
20,10,481,0.000985,0.21260691
20,15,424,0.000988,0.18784411
20,20,226,0.000994,0.09999411
20,25,403,0.000981,0.17810787
20,30,470,0.000993,0.20834805
20,35,508,0.000992,0.22488350
25,-10,868,0.000992,0.72604916
25,-5,844,0.000986,0.70626442
25,0,814,0.000991,0.68062614
25,5,776,0.000992,0.65130837
25,10,723,0.000995,0.60567216
25,15,636,0.000995,0.53310170
25,20,337,0.000987,0.28155024
25,25,602,0.000999,0.50352474
25,30,706,0.000998,0.59286737
25,35,765,0.000989,0.63947227
50,-10,1000,3.691339,6.47570224
50,-5,1000,2.578444,6.48779598
50,0,1000,1.664679,6.41945223
50,5,1000,0.950045,6.40213710
50,10,1000,0.434542,6.40112203
50,15,1000,0.118171,6.39900533
50,20,984,0.000996,6.30175506
50,25,1000,0.082820,6.41549327
50,30,1000,0.363842,6.41173855
50,35,1000,0.843994,6.42057240
100,-10,1000,44.798942,50.56894871
100,-5,1000,31.265838,50.71845608
100,0,1000,20.162845,50.62498385
100,5,1000,11.489964,50.58950995
100,10,1000,5.247195,50.69878123
100,15,1000,1.434538,50.56234846
100,20,1000,0.051992,50.64827426
100,25,1000,1.099558,50.34700011
100,30,1000,4.577235,50.29250255
100,35,1000,10.485024,50.17546598
