Iterations,Diff,Time
22,0.000816,0.00008669
22,0.000554,0.00008584
21,0.000685,0.00008208
20,0.000726,0.00009875
19,0.000571,0.00007467
16,0.000750,0.00006341
14,0.000710,0.00005955
18,0.000712,0.00007113
20,0.000548,0.00007836
21,0.000560,0.00008264
50,0.000983,0.00060057
49,0.000869,0.00057336
47,0.000920,0.00054412
45,0.000811,0.00050977
41,0.000864,0.00047224
32,0.000883,0.00038090
35,0.000966,0.00039813
42,0.000886,0.00048404
45,0.000979,0.00052149
48,0.000789,0.00055240
166,0.000965,0.01096750
161,0.000969,0.01056336
155,0.000950,0.01019062
146,0.000996,0.00961525
133,0.000994,0.00892814
103,0.000973,0.00687720
113,0.000953,0.00745573
137,0.000931,0.00906214
148,0.000990,0.00969809
156,0.000980,0.01027249
344,0.000977,0.06772262
333,0.000999,0.06588702
320,0.000995,0.06334708
303,0.000973,0.06012684
276,0.000978,0.05488932
216,0.000999,0.04301437
225,0.000965,0.04419291
279,0.000967,0.05506126
304,0.000997,0.05998716
322,0.000964,0.06403362
581,0.000979,0.26104252
562,0.000997,0.25157474
540,0.000978,0.24401208
509,0.000981,0.22862846
461,0.000990,0.20727600
352,0.000987,0.15821376
383,0.000978,0.17220817
471,0.000993,0.21152413
515,0.000983,0.23236897
544,0.000986,0.24427764
876,0.000996,0.74011275
848,0.000997,0.71403430
813,0.000997,0.68262204
766,0.000993,0.64477810
693,0.000996,0.58529596
527,0.000994,0.44666011
571,0.000989,0.48254223
708,0.000988,0.59460745
775,0.000989,0.64999682
819,0.001000,0.68851852
1000,4.175146,6.44270898
1000,2.774264,6.43130766
1000,1.659105,6.44408487
1000,0.829669,6.42902388
1000,0.285957,6.42646988
1000,0.027968,6.43000433
1000,0.055703,6.42847078
1000,0.369161,6.42957894
1000,0.968342,6.42998412
1000,1.853246,6.42144871
1000,49.236657,49.79196211
1000,33.034657,49.71061047
1000,20.132577,49.78596548
1000,10.530416,49.87396573
1000,4.228174,49.81230030
1000,1.225851,49.77970697
1000,1.523447,49.80469480
1000,5.120962,49.73196131
1000,12.018396,49.85340233
1000,22.215750,49.82849360
