N,T,Iterations,Diff,Time
3,-10,22,0.000816,0.00002819
3,-5,22,0.000554,0.00002828
3,0,21,0.000685,0.00002732
3,5,20,0.000726,0.00002589
3,10,19,0.000571,0.00002486
3,15,16,0.000750,0.00002141
3,20,14,0.000710,0.00001902
3,25,18,0.000712,0.00002519
3,30,20,0.000548,0.00002585
3,35,21,0.000560,0.00002718
5,-10,50,0.000983,0.00024237
5,-5,49,0.000869,0.00018680
5,0,47,0.000920,0.00017023
5,5,45,0.000811,0.00016421
5,10,41,0.000864,0.00015020
5,15,32,0.000883,0.00011812
5,20,35,0.000966,0.00012836
5,25,42,0.000886,0.00015365
5,30,45,0.000979,0.00016405
5,35,48,0.000789,0.00017474
10,-10,166,0.000965,0.00359893
10,-5,161,0.000969,0.00353223
10,0,155,0.000950,0.00333226
10,5,146,0.000996,0.00314155
10,10,133,0.000994,0.00293771
10,15,103,0.000973,0.00228607
10,20,113,0.000953,0.00245692
10,25,137,0.000931,0.00293407
10,30,148,0.000990,0.00319836
10,35,156,0.000980,0.00346894
15,-10,333,0.000999,0.02174513
15,-5,320,0.000995,0.02131103
15,0,303,0.000973,0.01975139
15,5,276,0.000978,0.01819042
15,10,216,0.000999,0.01458056
15,15,225,0.000965,0.01546296
15,20,279,0.000967,0.01870737
15,25,304,0.000997,0.01979041
15,30,322,0.000964,0.02126355
15,35,581,0.000979,0.08810042
20,-10,562,0.000997,0.08334817
20,-5,540,0.000978,0.08404099
20,0,509,0.000981,0.07743746
20,5,461,0.000990,0.06911111
20,10,352,0.000987,0.05252403
20,15,383,0.000978,0.05733185
20,20,471,0.000993,0.06992593
20,25,515,0.000983,0.07828808
20,30,544,0.000986,0.08101991
20,35,876,0.000996,0.25031506
25,-10,848,0.000997,0.24433192
25,-5,813,0.000997,0.23090905
25,0,766,0.000993,0.22321348
25,5,693,0.000996,0.20051315
25,10,527,0.000994,0.15158040
25,15,571,0.000989,0.16360489
25,20,708,0.000988,0.20337045
25,25,775,0.000989,0.22033826
25,30,819,0.001000,0.23317752
25,35,1000,4.175146,2.27291449
50,-10,1000,2.774264,2.27855454
50,-5,1000,1.659105,2.27785517
50,0,1000,0.829669,2.25777642
50,5,1000,0.285957,2.24944441
50,10,1000,0.027968,2.26915091
50,15,1000,0.055703,1.01279760
50,20,1000,0.369161,1.01762450
50,25,1000,0.968342,1.02664637
50,30,1000,1.853246,1.01241913
50,35,1000,49.236657,10.20378239
100,-10,1000,33.034657,10.07790256
100,-5,1000,20.132577,10.11497707
100,0,1000,10.530416,10.94517966
100,5,1000,4.228174,12.53005520
100,10,1000,1.225851,12.51609317
100,15,1000,1.523447,12.47450605
100,20,1000,5.120962,12.52511368
100,25,1000,12.018396,12.52121028
100,30,1000,22.215750,12.49253134
